"model","protocol","model_line","n_folds","sharpe_mean","sharpe_std","cagr_mean","cagr_std","max_drawdown_mean","max_drawdown_std","calmar_mean","calmar_std","cvar_95_mean","cvar_95_std","avg_turnover_mean","avg_turnover_std","total_cost_mean","total_cost_std","source_file"
"BuyAndHoldIndex","version_2","baselines","13","0.9577366735056342","1.053134194317954","0.1558125182937379","0.1762303816702082","-0.1691125067282352","0.0936879844864579","1.895008236991644","2.154608420917716","-0.4362901596693725","0.1996672294141174","0.0","0.0","0.0","0.0","results\summaries\baselines\full_gated_v2\final_summary.csv"
"EqualWeight","version_2","baselines","13","1.0957660080410905","0.9801696186581366","0.1895891830822933","0.1676864940617443","-0.1581996431645013","0.0960900613854768","2.268023539877523","2.5722970967127647","-0.4361488602211094","0.2240373225997551","0.0","0.0","0.0","0.0","results\summaries\baselines\full_gated_v2\final_summary.csv"
"InverseVolatility","version_2","baselines","13","1.0679067616053797","0.945043842262451","0.1686115715262065","0.1437484453734101","-0.149389841247277","0.0920160718779551","2.110842557305872","2.3924475927902997","-0.4050061741651619","0.216237650410041","0.0062612950378995","0.000354983489925","0.0023647026571457","0.0001361499911773","results\summaries\baselines\full_gated_v2\final_summary.csv"
"MeanVariance","version_2","baselines","13","0.767307868724155","0.7488383536999658","0.1531561582669308","0.1439375739785618","-0.1566233779927136","0.0710141733993827","1.5216668950114125","1.7013670305069963","-0.4338025646830931","0.1611038406767337","0.0585351397553411","0.0075576463045338","0.0221047118683621","0.0028503321468852","results\summaries\baselines\full_gated_v2\final_summary.csv"
"MinimumVariance","version_2","baselines","13","0.7592321959733133","0.862895585796198","0.0989614089614854","0.092718596490789","-0.1285636998696163","0.0717958446356124","1.4173341808610591","1.920007897621988","-0.3241529506310225","0.1697663081960431","0.0296818627193789","0.0062152633724547","0.0112098908231353","0.0023505900744956","results\summaries\baselines\full_gated_v2\final_summary.csv"
"PPO_gated_full","version_2","full_gated_v2","13","0.9899762320609852","0.9920340830930876","0.1620702052020206","0.1780528381448149","-0.1550958898040255","0.0990866080706368","2.3237605394391907","2.846452465368541","-0.4237457189533498","0.218965319106394","0.0213182004364652","0.005126150388062","0.0080230663302194","0.0019350010734617","reports\curated\full_gated_v2\PPO_gated_full\summary_v2.csv"
