"model","protocol","fold_id","date","portfolio_value","net_return","turnover","gross_return","drawdown_incremental"
"PPO_gated_full","version_2","0","2017-12-28 00:00:00","1001703.9744376668","0.0017039744376668","0.0662158071910116","0.0018032981484533","0.0"
"PPO_gated_full","version_2","0","2017-12-29 00:00:00","996023.3033912436","-0.0056710077941061","0.067341344896704","-0.005569995776761","0.0056710077941062"
"PPO_gated_full","version_2","0","2018-01-02 00:00:00","1004809.1045837768","0.0088208791527462","0.0676393700780385","0.0089223382078632","0.0"
"PPO_gated_full","version_2","0","2018-01-03 00:00:00","1014379.3737449972","0.0095244650128689","0.0622659166230158","0.0096178638878034","0.0"
"PPO_gated_full","version_2","0","2018-01-04 00:00:00","1020012.2323520615","0.0055530098036872","0.0554323039508414","0.0056361582596135","0.0"
"PPO_gated_full","version_2","0","2018-01-05 00:00:00","1026435.604503503","0.0062973481569233","0.0491916780424284","0.0063711356739869","0.0"
"PPO_gated_full","version_2","0","2018-01-08 00:00:00","1031169.3167424384","0.0046117966077622","0.0487179950476274","0.0046848736003336","0.0"
"PPO_gated_full","version_2","0","2018-01-09 00:00:00","1030286.3781603584","-0.0008562498590136","0.0410990121859261","-0.0007946013407347","0.0008562498590136"
"PPO_gated_full","version_2","0","2018-01-10 00:00:00","1026392.908654206","-0.0037790167750295","0.0342888957654818","-0.0037275834313813","0.0037757809924487"
"PPO_gated_full","version_2","0","2018-01-11 00:00:00","1032427.4691040646","0.0058793863431607","0.0342647184011046","0.0059307834207623","0.0"
"PPO_gated_full","version_2","0","2018-01-12 00:00:00","1038262.4020185404","0.0056516637624328","0.0307751569191728","0.0056978264978115","0.0"
"PPO_gated_full","version_2","0","2018-01-16 00:00:00","1037051.221266263","-0.001166545903928","0.0312398663435417","-0.0011196861044127","0.001166545903928"
"PPO_gated_full","version_2","0","2018-01-17 00:00:00","1052593.5070635648","0.0149869991747603","0.0354498268843599","0.0150401739150869","0.0"
"PPO_gated_full","version_2","0","2018-01-18 00:00:00","1049009.3375276057","-0.0034050842152335","0.0304212330215166","-0.0033594523657012","0.0034050842152334"
"PPO_gated_full","version_2","0","2018-01-19 00:00:00","1053660.2077610043","0.0044335832551885","0.0285277514532416","0.0044763748823684","0.0"
"PPO_gated_full","version_2","0","2018-01-22 00:00:00","1060456.9232659356","0.0064505762435254","0.030872205458829","0.0064968845517136","0.0"
"PPO_gated_full","version_2","0","2018-01-23 00:00:00","1063601.1433588269","0.0029649672927853","0.0266495082396344","0.0030049415551447","0.0"
