label,sharpe,sortino,cagr,max_drawdown,calmar,cvar_95,final_value,total_return,n_days,avg_turnover,total_cost,gross_return,turnover,transaction_cost,slippage_cost,net_return,drawdown_incremental,step,portfolio_value,to_raw,to_shield,to_exec,alpha_t,non_trade_flag,dist_raw_exec,trade_budget_used,factor_exposure_beta,factor_exposure_momentum,factor_exposure_low_vol,stress_signal,vol_signal,corr_signal,regime_stress_prob,tau_min_t,tau_max_t,market_avg_corr,market_realized_vol,benchmark_return_1d,fold_id,test_start,test_end,selected_seed,validation_selection_score,experiment_version,seed_test_sharpe_mean,seed_test_sharpe_std,seed_test_calmar_mean,seed_test_calmar_std,context_source,stress_fraction,shield_reduction_mean,dominant_regime,gate_regime_mean,gate_asset_mean,gate_mean,gate_std
PPO_gated_full,-0.131998559758009,-0.1656657804266621,-0.022916055626775567,-0.22683121581982976,-0.10102690471393323,-0.4812933387029579,977173.8352293813,-0.022826164770618718,251,0.013449083033051052,0.005043406137394144,-5.279924519324443e-07,0.013449083033051052,1.3449083033051053e-05,6.724541516525526e-06,-2.070161700150925e-05,0.003935572380291367,125.0,1054816.8213796406,0.056811608181175484,0.056811605791646645,0.013449083033051052,0.999999955830821,0.0,0.052966472757051394,0.23385482054518578,0.08646835798705628,0.18055958789031196,-0.14981956521802364,0.7198065366189857,0.6013990671175163,0.4372674525114201,1.0,0.01359903268309493,0.05681160780286086,-0.2883808761909307,0.5786124733925994,-0.09843110994424716,0,2017-12-27,2018-12-27,42,8.595283425379273,full_gated_v2,-0.131998559758009,0.0,-0.10102690471393323,0.0,fred_real_pdr,1.0,0.766145181268792,1,0.8375640719297872,0.4930831357777356,0.6653236038537614,0.18946933473639188
PPO_gated_full,0.6739477685820802,0.9123118108461693,0.12527415061734937,-0.16250131686001626,0.7709116026749768,-0.39168342139479295,1124747.2407273494,0.12474724072734933,251,0.016126889741044044,0.0060475836528915165,0.000547146208572924,0.016126889741044044,1.612688974104404e-05,8.06344487052202e-06,0.0005229558739613582,0.0032353106039786973,125.0,1054022.2206075198,0.058455254125642585,0.05845525227041833,0.016126889741044044,0.9999999681791937,0.0,0.05266879891406036,0.27192079163172805,0.0695703350586364,0.013310754790195297,0.09656364824902892,0.6924124168108892,0.6226626899806913,0.44574443113920187,0.907610918832117,0.013462062084054446,0.058455254991346656,-0.21798427183784228,0.699079852330914,-0.02521461703855381,1,2018-06-27,2019-06-27,42,1.6912880408260431,full_gated_v2,0.6739477685820802,0.0,0.7709116026749768,0.0,fred_real_pdr,0.9123505976095617,0.7280792055611678,0,0.6982107111419814,0.43681201113172735,0.5675113611368544,0.16240650452129549
PPO_gated_full,2.0514223555743154,2.7995351853416715,0.3108545520973238,-0.05961068704728614,5.214745333344986,-0.2885044630935018,1310854.5520973238,0.3108545520973238,252,0.021898258639329333,0.008244694377707494,0.0011390544707795107,0.021898258639329333,2.1898258639329334e-05,1.0949129319664667e-05,0.0011062070828205166,0.002416941337907029,125.5,1195622.7801891246,0.07960580494846144,0.07960580225797399,0.021898258639329333,0.9999999621557811,0.0,0.072765550431739,0.28401515864685406,-0.13308183696894307,0.0017272948771567336,0.08739744280238584,0.33990324282744144,0.6120122248530303,0.4964466501663172,0.003968253968253968,0.011699516214137208,0.07960580543035352,0.025541708640207255,0.5761857348212894,0.10958081813002955,2,2018-12-26,2019-12-26,42,0.34193167117181456,full_gated_v2,2.0514223555743154,0.0,5.214745333344986,0.0,fred_real_pdr,0.10317460317460317,0.7159848384887679,1,0.4668820732169681,0.4276465117221787,0.4472642924695734,0.07289345269511455
PPO_gated_full,0.08207371294132358,0.09088394734351117,-0.013973889767345593,-0.35584129720937346,-0.039270005693362496,-0.9064530050357275,985971.049083607,-0.014028950916393002,253,0.026923028991690405,0.010176904958858974,0.00023426168307995803,0.026923028991690405,2.692302899169041e-05,1.3461514495845205e-05,0.00019387713959242284,0.005510372183491821,126.0,1040411.5048339864,0.07705134833636491,0.07705134480249269,0.026923028991690405,0.9999999469919167,0.0,0.06298219736490392,0.34452514464776307,-0.12632304511176562,-0.043055514493676936,0.16183859127916012,0.3824775365526044,0.6857113398868941,0.5697483817299351,0.00010368039926927533,0.011912387682763021,0.07705134780684374,0.42101777050130645,1.5594331520819382,0.03166298959919586,3,2019-06-26,2020-06-26,42,1.1986694762080594,full_gated_v2,0.08207371294132358,0.0,-0.039270005693362496,0.0,fred_real_pdr,0.308300395256917,0.6554748600140207,1,0.7368359312474021,0.3845115316950757,0.5606737314712389,0.20971524609124903
PPO_gated_full,0.4391021923031697,0.4981278230514766,0.11809114189385239,-0.34847607548709125,0.3388787644281964,-0.8916468960483938,1118586.5078212349,0.11858650782123492,253,0.02158856731470895,0.008160478444959984,0.0007159510770159919,0.02158856731470895,2.158856731470895e-05,1.0794283657354475e-05,0.0006835682260439284,0.005511213411451942,126.0,988731.4197857503,0.07376417947616502,0.07376417564780345,0.02158856731470895,0.9999999474630996,0.0,0.06248559783399804,0.2838979376672669,-0.27418289925505523,-0.06053617189310697,0.3502778586279969,0.4372636850890057,0.809784357298251,0.6153566401067617,1.9818433689714607e-11,0.01218631842544503,0.07376417889465967,0.636859865253147,2.2329860024684267,0.09185307750500474,4,2019-12-26,2020-12-28,42,5.554927174101035,full_gated_v2,0.4391021923031697,0.0,0.3388787644281964,0.0,fred_real_pdr,0.33992094861660077,0.7161020646882438,0,0.7311646314006549,0.3316860538226343,0.5314253426116445,0.27024085565614053
PPO_gated_full,2.819799726414091,4.393535837927038,0.5940382057044808,-0.069852400699481,8.504191692138859,-0.33686009440018533,1594038.2057044809,0.5940382057044808,252,0.02192168227656527,0.008253513377126823,0.0019375099538372117,0.02192168227656527,2.1921682276565268e-05,1.0960841138282634e-05,0.0019046274304223639,0.00309092462152721,125.5,1327134.3324678938,0.07740999574935625,0.07740999302930301,0.02192168227656527,0.9999999576617801,0.0,0.07013224956311322,0.28839098292283183,-0.10022014211461369,0.12028324115829217,-0.042915872169956744,0.3765000816056975,0.7253876326397775,0.4904576407271016,3.6195468368582824e-30,0.011882500408028487,0.07740999510365816,-0.023659388717663075,1.1393109234225463,0.11101409580580712,5,2020-06-26,2021-06-28,42,0.4768787414890071,full_gated_v2,2.819799726414091,0.0,8.504191692138859,0.0,fred_real_pdr,0.03571428571428571,0.7116090201030764,2,0.52994354814291,0.4426734022914417,0.48630847521717585,0.07388719075866552
PPO_gated_full,2.239155739648489,3.2036096782648427,0.3730587198184512,-0.0635675765284196,5.868695020198941,-0.31352871292281526,1373058.7198184512,0.3730587198184512,252,0.02361655744582211,0.008891633878352026,0.001331450889077565,0.02361655744582211,2.3616557445822116e-05,1.1808278722911058e-05,0.0012960260529088323,0.002663258951628403,125.5,1190344.6387318822,0.0598257885920623,0.059825786256364415,0.02361655744582211,0.9999999498564099,0.0,0.046987267244814716,0.4030372175754877,0.0743095633469426,0.11728395235476209,0.07221325916637557,0.6695702023334946,0.613361198828159,0.46498317949152335,0.8466199696768955,0.013347851011667473,0.05982578785999032,-0.14976186460920698,0.5267583448513751,0.06824168481536963,6,2020-12-28,2021-12-28,42,0.7556145104449841,full_gated_v2,2.239155739648489,0.0,5.868695020198941,0.0,fred_real_pdr,0.8531746031746031,0.5969627871185222,1,0.6773081564950565,0.3876383174506445,0.5324732369728504,0.17223791346656742
PPO_gated_full,-0.39626941124390297,-0.5324264956345935,-0.0643970418598454,-0.17736832229322003,-0.3630695776294604,-0.43368604851695214,935602.9581401546,-0.0643970418598454,252,0.02938322875863123,0.01106278562762466,-0.00015722429091859984,0.02938322875863123,2.938322875863123e-05,1.4691614379315614e-05,-0.00020129913405654635,0.004012201801362986,125.5,1021379.6539419325,0.08010547497265395,0.08010547192737696,0.02938322875863123,0.9999999605000965,0.0,0.0681498751634882,0.3663340004919309,-0.16642772758911764,0.028050326401763227,0.0690153704739974,0.3315754316428423,0.5527628347015812,0.5215094418697851,0.01932769757460652,0.011657877158214211,0.08010547410142947,0.10845861542787004,0.22448055556188115,-0.06444685845007558,7,2021-06-28,2022-06-28,42,4.2140733261438434,full_gated_v2,-0.39626941124390297,0.0,-0.3630695776294604,0.0,fred_real_pdr,0.01984126984126984,0.633666004092387,2,0.6970106791409235,0.44226868604383773,0.5696396825923806,0.15141860688705067
PPO_gated_full,-0.01882422343089402,-0.02902908834653697,-0.004552714995149421,-0.16639782388599147,-0.027360423885523538,-0.4503097019121753,995447.2850048506,-0.004552714995149421,252,0.02208215131641227,0.008313929970629219,9.653892470810039e-05,0.02208215131641227,2.208215131641227e-05,1.1041075658206135e-05,6.341569773348224e-05,0.0045400960613831915,125.5,974728.1926495454,0.07742826791391486,0.07742826451384832,0.02208215131641227,0.9999999548234637,0.0,0.06807855630796308,0.2844775064668517,-0.2426007573182384,0.23208035973625052,0.2055950628019341,0.3761955254382722,0.606120631462599,0.6562130399381085,1.1110458861235322e-07,0.011880977627191359,0.07742826847370368,0.7255970262257116,0.44021760906997814,-0.1012779117103607,8,2021-12-27,2022-12-27,42,4.674281117436687,full_gated_v2,-0.01882422343089402,0.0,-0.027360423885523538,0.0,fred_real_pdr,0.0,0.7155224907241705,0,0.3175184080702445,0.3895966083047882,0.35355750818751636,0.13815395156634505
PPO_gated_full,0.5126851205987578,0.8478243405745253,0.09809260913538154,-0.1413222373844034,0.6941059733477389,-0.34922159322885427,1097684.93218098,0.09768493218098007,251,0.019822207324093163,0.007433327746534936,0.0004601601267032842,0.019822207324093163,1.9822207324093163e-05,9.911103662046582e-06,0.00043042681571714463,0.0038120758734828696,125.0,1036347.5017676408,0.05845202392790897,0.058452021835216014,0.019822207324093163,0.9999999570181646,0.0,0.04970615835306708,0.34890383030555117,-0.29231493103139816,0.0169306190334728,0.024000218027944775,0.6924662819171457,0.5310185419892817,0.629140009878762,0.8733119743780166,0.01346233140958573,0.05845202308497126,0.5983778240174923,0.1285740158778515,-0.013130496911411415,9,2022-06-27,2023-06-27,42,0.13259499376082057,full_gated_v2,0.5126851205987578,0.0,0.6941059733477389,0.0,fred_real_pdr,0.8725099601593626,0.6510961751977444,0,0.7325855663335655,0.42136523602493253,0.5769754011792491,0.18409625317433848
