ticker
AAPL
MSFT
NVDA
GOOGL
META
AVGO
ORCL
AMD
QCOM
TXN
INTC
MU
AMAT
LRCX
ADI
NOW
INTU
SNPS
CDNS
MRVL
UNH
LLY
JNJ
ABBV
MRK
TMO
ABT
DHR
PFE
AMGN
ISRG
SYK
BMY
GILD
REGN
BRK-B
JPM
V
MA
BAC
WFC
GS
MS
BLK
SPGI
AXP
C
CB
PGR
USB
AMZN
TSLA
HD
MCD
NKE
SBUX
TJX
LOW
BKNG
GM
PG
KO
PEP
WMT
COST
PM
MO
CL
GE
CAT
HON
UPS
RTX
LMT
DE
BA
MMM
FDX
XOM
CVX
COP
EOG
SLB
PXD
OXY
NEE
DUK
SO
D
EXC
PLD
AMT
EQIX
SPG
O
LIN
APD
SHW
NEM
FCX
